country,date,confirmed,recovered,deaths,first_date,population,density,median_age,urban_population,confirmed_change,deaths_change,recovered_change,days_since_first_100_cases
Albania,3/11/20,12,0,1,3/23/20,2877797,105,36,0.63,2,1,0,-12
Albania,3/15/20,42,0,1,3/23/20,2877797,105,36,0.63,4,0,0,-8
Bahamas,3/17/20,1,0,0,,393244,39,32,0.86,0,0,0,
Botswana,4/4/20,4,0,1,,2351627,4,24,0.73,0,0,0,
Burkina Faso,3/17/20,15,0,0,3/24/20,20903273,76,18,0.31,0,0,0,-7
Cabo Verde,4/8/20,7,1,1,,555987,138,28,0.68,0,0,0,
El Salvador,4/6/20,69,5,4,4/9/20,6486205,313,28,0.73,7,1,3,-3
Equatorial Guinea,3/19/20,6,0,0,,1402985,50,22,0.73,2,0,0,
Equatorial Guinea,3/27/20,12,0,0,,1402985,50,22,0.73,0,0,0,
Kosovo,3/19/20,2,0,0,3/31/20,1831000,,,,0,0,0,-12
Kosovo,4/9/20,184,30,5,3/31/20,1831000,,,,0,0,0,9
Kyrgyzstan,3/25/20,44,0,0,3/31/20,6524195,34,26,0.36,2,0,0,-6
Kyrgyzstan,4/2/20,116,5,0,3/31/20,6524195,34,26,0.36,5,0,2,2
Liberia,4/7/20,14,3,3,,5057681,53,19,0.53,0,0,0,
Mali,3/29/20,18,0,1,4/12/20,20250833,17,16,0.44,0,1,0,-14
Martinique,3/14/20,9,0,0,,375265,354,47,0.92,6,0,0,
Panama,3/18/20,86,0,1,3/19/20,4314767,58,30,0.68,17,0,0,-1
Panama,3/31/20,1181,9,30,3/19/20,4314767,58,30,0.68,192,6,5,12
Panama,4/13/20,3400,29,87,3/19/20,4314767,58,30,0.68,166,8,6,25
Seychelles,3/24/20,7,0,0,,98347,214,34,0.56,0,0,0,
Somalia,3/16/20,1,0,0,,15893222,25,17,0.47,1,0,0,
Suriname,3/23/20,5,0,0,,586632,4,29,0.65,0,0,0,
Suriname,3/28/20,8,0,0,,586632,4,29,0.65,0,0,0,
Suriname,4/9/20,10,4,1,,586632,4,29,0.65,0,0,1,
Timor-Leste,4/5/20,1,0,0,,1318445,89,21,0.33,0,0,0,
Zambia,4/3/20,39,2,1,,18383955,25,18,0.45,0,0,2,
Zambia,4/4/20,39,2,1,,18383955,25,18,0.45,0,0,0,
Bolivia,3/20/20,15,0,0,3/31/20,11673021,11,26,0.69,3,0,0,-11
Bolivia,3/29/20,81,0,1,3/31/20,11673021,11,26,0.69,7,1,0,-2
Central African Republic,4/9/20,8,0,0,,4829767,8,18,0.43,0,0,0,
Central African Republic,4/11/20,8,0,0,,4829767,8,18,0.43,0,0,0,
Central African Republic,4/12/20,8,0,0,,4829767,8,18,0.43,0,0,0,
Ethiopia,4/4/20,38,4,0,,114963588,115,19,0.21,3,0,0,
French Guiana,3/16/20,11,0,0,,298682,4,25,0.87,6,0,0,
Gabon,4/9/20,44,1,1,,2225734,9,23,0.87,10,0,0,
Ghana,3/26/20,132,1,4,3/26/20,31072940,137,22,0.57,39,0,1,0
Grenada,3/31/20,9,0,0,,112523,331,32,0.35,0,0,0,
Kenya,3/28/20,38,1,1,4/2/20,53771296,94,20,0.28,7,0,0,-5
Laos,3/31/20,9,0,0,,7275560,32,24,0.36,1,0,0,
Malta,3/24/20,110,2,0,3/23/20,441543,1380,43,0.93,3,0,0,1
Mauritania,3/23/20,2,0,0,,4649658,5,20,0.57,0,0,0,
Namibia,3/29/20,11,2,0,,2540905,3,22,0.55,3,0,0,
Namibia,4/6/20,16,3,0,,2540905,3,22,0.55,0,0,0,
Papua New Guinea,3/31/20,1,0,0,,8947024,20,22,0.13,0,0,0,
Papua New Guinea,4/10/20,2,0,0,,8947024,20,22,0.13,0,0,0,
Saint Lucia,3/25/20,3,0,0,,183627,301,34,0.19,0,0,0,
Sudan,3/24/20,3,0,1,,43849260,25,20,0.35,1,0,0,
Sudan,4/2/20,8,2,2,,43849260,25,20,0.35,1,0,0,
Sudan,4/13/20,29,4,4,,43849260,25,20,0.35,10,2,2,
Tanzania,3/16/20,1,0,0,,59734218,67,18,0.37,1,0,0,
Tanzania,4/12/20,32,5,3,,59734218,67,18,0.37,0,0,0,
Turkey,3/19/20,192,0,3,3/19/20,84339067,110,32,0.76,94,2,0,0
Turkey,4/8/20,38226,1846,812,3/19/20,84339067,110,32,0.76,4117,87,264,20
Venezuela,3/25/20,91,15,0,3/26/20,28435940,32,30,,7,0,0,-1
Venezuela,3/28/20,119,39,2,3/26/20,28435940,32,30,,12,1,8,2
Western Sahara,4/8/20,4,0,0,,597339,2,28,0.87,0,0,0,
Albania,3/9/20,2,0,0,3/23/20,2877797,105,36,0.63,2,0,0,-14
Albania,3/26/20,174,17,6,3/23/20,2877797,105,36,0.63,28,1,0,3
Angola,3/28/20,5,0,0,,32866272,26,17,0.67,1,0,0,
Angola,4/2/20,8,1,2,,32866272,26,17,0.67,0,0,0,
Antigua and Barbuda,3/22/20,1,0,0,,97929,223,34,0.26,0,0,0,
Antigua and Barbuda,4/8/20,19,0,2,,97929,223,34,0.26,0,1,0,
Bahamas,4/12/20,46,5,8,,393244,39,32,0.86,0,0,0,
Benin,4/4/20,16,2,0,,12123200,108,19,0.48,0,0,0,
Benin,4/9/20,26,5,1,,12123200,108,19,0.48,0,0,0,
Burundi,3/31/20,2,0,0,,11890784,463,17,0.14,2,0,0,
Burundi,4/4/20,3,0,0,,11890784,463,17,0.14,0,0,0,
Burundi,4/12/20,5,0,0,,11890784,463,17,0.14,0,0,0,
Equatorial Guinea,4/14/20,41,4,0,,1402985,50,22,0.73,20,0,0,
Eritrea,4/3/20,22,0,0,,3546421,35,19,0.63,0,0,0,
Guatemala,4/14/20,167,19,5,4/10/20,17915568,167,23,0.52,11,0,0,4
Guyana,3/25/20,20,0,1,,786552,4,27,0.27,0,0,0,
Guyana,4/13/20,45,8,6,,786552,4,27,0.27,0,0,0,
Seychelles,3/22/20,7,0,0,,98347,214,34,0.56,0,0,0,
Somalia,3/31/20,5,1,0,,15893222,25,17,0.47,2,0,1,
Suriname,3/31/20,9,0,0,,586632,4,29,0.65,1,0,0,
Syria,3/25/20,5,0,0,,17500658,95,26,0.6,4,0,0,
Syria,3/26/20,5,0,0,,17500658,95,26,0.6,0,0,0,
Syria,4/3/20,16,0,2,,17500658,95,26,0.6,0,0,0,
Uzbekistan,3/16/20,6,0,0,3/28/20,33469203,79,28,0.5,5,0,0,-12
Djibouti,3/21/20,1,0,0,4/8/20,988000,43,27,0.79,0,0,0,-18
Djibouti,3/28/20,14,0,0,4/8/20,988000,43,27,0.79,2,0,0,-11
Ghana,3/20/20,16,0,0,3/26/20,31072940,137,22,0.57,5,0,0,-6
Ghana,3/22/20,23,0,1,3/26/20,31072940,137,22,0.57,4,0,0,-4
Grenada,4/2/20,10,0,0,,112523,331,32,0.35,1,0,0,
Grenada,4/9/20,12,0,0,,112523,331,32,0.35,0,0,0,
Guinea,3/20/20,1,0,0,4/4/20,13132795,53,18,0.39,0,0,0,-15
Holy See,3/22/20,1,0,0,,801,2003,,,0,0,0,
Holy See,3/28/20,6,0,0,,801,2003,,,2,0,0,
Kazakhstan,3/29/20,284,20,3,3/26/20,18776707,7,31,0.58,56,0,4,3
Kenya,3/26/20,31,1,1,4/2/20,53771296,94,20,0.28,3,1,0,-7
Laos,4/4/20,10,0,0,,7275560,32,24,0.36,0,0,0,
Maldives,3/14/20,10,0,0,,540544,1802,30,0.35,1,0,0,
Montenegro,3/28/20,84,0,1,3/31/20,628066,47,39,0.68,2,0,0,-3
Mozambique,3/28/20,8,0,0,,31255435,40,18,0.38,1,0,0,
Namibia,3/22/20,3,0,0,,2540905,3,22,0.55,0,0,0,
Nicaragua,3/19/20,1,0,0,,6624554,55,26,0.57,1,0,0,
Saint Lucia,4/8/20,14,1,0,,183627,301,34,0.19,0,0,0,
Sudan,3/15/20,1,0,1,,43849260,25,20,0.35,0,0,0,
Uganda,4/1/20,44,0,0,,45741007,229,17,0.26,0,0,0,
Venezuela,4/13/20,189,110,9,3/26/20,28435940,32,30,,8,0,17,18
Angola,3/20/20,1,0,0,,32866272,26,17,0.67,1,0,0,
Angola,4/12/20,19,4,2,,32866272,26,17,0.67,0,0,0,
Burkina Faso,3/12/20,2,0,0,3/24/20,20903273,76,18,0.31,0,0,0,-12
Chad,3/29/20,3,0,0,,16425864,13,17,0.23,0,0,0,
Cuba,3/15/20,4,0,0,3/28/20,11326616,106,42,0.78,0,0,0,-13
Cyprus,4/12/20,633,65,11,3/23/20,1207359,131,37,0.67,17,0,4,20
Eritrea,3/30/20,12,0,0,,3546421,35,19,0.63,0,0,0,
Eritrea,4/13/20,34,0,0,,3546421,35,19,0.63,0,0,0,
Fiji,3/19/20,1,0,0,,896445,49,28,0.59,1,0,0,
Guadeloupe,3/14/20,1,0,0,,400124,237,44,,0,0,0,
Guatemala,4/7/20,77,17,3,4/10/20,17915568,167,23,0.52,7,0,2,-3
Guyana,3/17/20,7,0,1,,786552,4,27,0.27,3,0,0,
Guyana,4/9/20,37,8,6,,786552,4,27,0.27,0,0,0,
Liberia,3/25/20,3,0,0,,5057681,53,19,0.53,0,0,0,
Liberia,3/30/20,3,0,0,,5057681,53,19,0.53,0,0,0,
Madagascar,3/20/20,3,0,0,4/11/20,27691018,48,20,0.39,3,0,0,-22
Mali,3/31/20,28,0,2,4/12/20,20250833,17,16,0.44,3,0,0,-12
Martinique,3/16/20,15,0,1,,375265,354,47,0.92,6,1,0,
Martinique,3/20/20,32,0,1,,375265,354,47,0.92,9,0,0,
Palestine,3/8/20,22,0,0,,5101414,847,21,0.8,0,0,0,
Panama,3/30/20,989,4,24,3/19/20,4314767,58,30,0.68,88,7,0,11
Rwanda,4/3/20,89,0,0,4/4/20,12952218,525,20,0.18,5,0,0,-1
Somalia,4/1/20,5,1,0,,15893222,25,17,0.47,0,0,0,
Bolivia,4/14/20,354,6,28,3/31/20,11673021,11,26,0.69,24,1,4,14
Brunei,3/13/20,37,0,0,3/24/20,437479,83,32,0.8,26,0,0,-11
Brunei,4/9/20,135,92,1,3/24/20,437479,83,32,0.8,0,0,1,16
Bulgaria,3/15/20,51,0,2,3/20/20,6948445,64,45,0.76,10,0,0,-5
Central African Republic,4/5/20,8,0,0,,4829767,8,18,0.43,0,0,0,
Djibouti,3/18/20,1,0,0,4/8/20,988000,43,27,0.79,1,0,0,-21
Dominica,4/1/20,12,0,0,,71986,96,,0.74,0,0,0,
Dominica,4/7/20,15,1,0,,71986,96,,0.74,0,0,0,
Dominica,4/8/20,15,1,0,,71986,96,,0.74,0,0,0,
Eswatini,4/1/20,9,0,0,,1160164,67,21,0.3,0,0,0,
Ghana,3/25/20,93,0,4,3/26/20,31072940,137,22,0.57,40,2,0,-1
Gibraltar,3/6/20,1,0,0,,33691,3369,,,0,0,0,
Holy See,3/21/20,1,0,0,,801,2003,,,0,0,0,
Kazakhstan,3/17/20,33,0,0,3/26/20,18776707,7,31,0.58,23,0,0,-9
Kazakhstan,3/18/20,35,0,0,3/26/20,18776707,7,31,0.58,2,0,0,-8
Kazakhstan,3/31/20,343,24,3,3/26/20,18776707,7,31,0.58,41,0,3,5
Laos,4/11/20,18,0,0,,7275560,32,24,0.36,2,0,0,
Maldives,3/21/20,13,0,0,,540544,1802,30,0.35,0,0,0,
Mauritania,3/16/20,1,0,0,,4649658,5,20,0.57,0,0,0,
Mayotte,3/18/20,3,0,0,,272815,728,20,0.46,2,0,0,
Nicaragua,4/12/20,9,4,1,,6624554,55,26,0.57,1,0,4,
Sudan,3/18/20,2,0,1,,43849260,25,20,0.35,1,0,0,
